length, ns_distribucion_uniforme, ns_creciente, ns_decreciente, ns_constante 
1, 104, 74, 75, 79
2, 231, 207, 197, 184
3, 525, 414, 1697, 349
4, 818, 746, 730, 483
5, 3215, 2111, 2168, 825
6, 5154, 7145, 4154, 1829
7, 11792, 8531, 10987, 2031
8, 19436, 21804, 20564, 3440
9, 33500, 47282, 46736, 4716
10, 55689, 90554, 96779, 5696
11, 106469, 259794, 271650, 8784
12, 188704, 525458, 502707, 11641
13, 297370, 1060450, 1203369, 14950
14, 558562, 2859894, 2688798, 18144
15, 838140, 7600262, 5915559, 23496
16, 1540314, 11874770, 10183864, 24702
17, 1671083, 20492770, 20408501, 28565
18, 4139483, 53228084, 52125922, 41745
19, 5558229, 111318913, 106715222, 48557
20, 6572587, 186754216, 175319586, 45958
21, 14286932, 377295423, 366053412, 51248
22, 13023934, -33937993, -65921543, 55235
23, 30171048, -211538102, -192497609, 64067
