length, ns_distribucion_uniforme, ns_creciente, ns_decreciente, ns_constante 
1, 1202, 762, 697, 712
2, 2014, 1546, 1518, 1503
3, 3981, 3373, 2992, 3211
4, 6832, 5308, 5385, 5908
5, 10095, 9707, 10382, 8079
6, 15110, 14023, 14106, 12222
7, 21322, 21188, 20145, 17768
8, 29121, 27757, 27401, 24154
9, 39331, 37141, 37647, 32441
10, 111960, 49705, 50333, 45908
11, 65634, 62982, 60233, 55912
12, 81648, 76523, 77581, 70436
13, 101644, 94208, 94611, 85758
14, 179957, 121939, 118839, 107897
15, 152419, 146771, 149065, 129043
16, 181426, 170772, 169988, 151983
17, 210077, 200148, 198713, 179801
18, 249931, 236328, 266125, 211755
19, 308377, 276167, 276961, 248732
20, 335263, 324668, 318560, 285080
21, 386014, 365606, 359619, 329366
22, 427484, 409231, 415286, 367072
23, 478372, 451889, 460430, 410768
24, 539771, 509316, 504984, 452467
25, 590953, 571079, 575165, 505863
26, 653513, 626926, 623304, 568057
27, 728034, 691321, 693482, 612962
28, 808196, 785233, 769090, 703650
29, 890343, 860392, 868158, 774076
30, 976589, 937363, 941625, 847093
31, 1085542, 1044655, 1037431, 922178
32, 1186998, 1104411, 1093479, 978185
33, 1299649, 1238484, 1325436, 1061479
34, 1264888, 1199734, 1334781, 1149788
35, 1397826, 1345555, 1402591, 1154596
36, 1594214, 1536654, 1524527, 1568425
37, 1743750, 1646720, 1694691, 1484292
38, 1886531, 1819628, 1828182, 1627615
39, 1999445, 1922475, 1887170, 1617960
40, 1383675, 1297765, 1369497, 1270538
41, 1537287, 1462599, 1412691, 1319696
42, 2303503, 2245101, 2266879, 2009937
43, 2162552, 1747659, 1821725, 1679730
44, 2494096, 2494400, 2404595, 2151183
45, 3008438, 2685845, 2837306, 2429456
46, 3359972, 3217414, 3238239, 2886376
47, 3611877, 3359867, 3470857, 3168355
48, 3141715, 2534500, 2371871, 2343026
49, 2865192, 2738318, 2748224, 2211333
50, 2849077, 2597111, 2557738, 2523457
51, 4402071, 4082912, 4179127, 3915629
52, 5075444, 4694068, 4696042, 4181306
53, 4552435, 4175131, 4731743, 3744075
54, 5268095, 5179930, 4963885, 4345293
55, 5196313, 4922152, 4509889, 4169456
56, 4433525, 3708799, 3959279, 3407138
57, 5025918, 4891977, 4820343, 4505037
58, 6272751, 5930011, 5649457, 5092586
59, 6478141, 6686009, 6556769, 5754700
60, 7557252, 7218221, 7051612, 6653048
61, 7785079, 7413553, 7478549, 6508219
62, 7827286, 7116711, 7169235, 7182607
63, 7707279, 7304257, 6741530, 5966990
64, 6062719, 5818591, 5810985, 5238532
65, 5942631, 5725566, 5812978, 5331604
66, 9218432, 8768840, 8748066, 7762095
67, 9409016, 8724953, 9282063, 8479496
68, 8744493, 8411114, 7882981, 7497807
69, 8524790, 7633324, 7629140, 7290532
70, 7076687, 6671608, 6845356, 6234680
71, 8522364, 7475297, 7516692, 7089981
72, 8586246, 8128101, 8156026, 7443774
73, 8106331, 8364995, 7804560, 7052994
74, 8480752, 7893204, 7853811, 7087578
75, 11701866, 11902013, 12416737, 10880590
76, 8912384, 7628683, 7656260, 6982971
77, 8372810, 7867895, 7973553, 7160324
78, 9610991, 8547443, 9007099, 7613133
79, 13542684, 12791027, 11586420, 10340805
80, 11101899, 10802891, 10971973, 10171450
81, 12913793, 12890467, 12956611, 12306267
82, 14239266, 12935809, 12432499, 10416530
83, 10414512, 10218183, 10690466, 9749174
84, 12354274, 11611241, 12228633, 10899194
85, 11567450, 11121169, 12473269, 10552424
86, 12421034, 11652790, 11502352, 10449435
87, 13207951, 11662036, 11416612, 10438669
88, 13043474, 11801464, 11843293, 10638463
89, 13316771, 12185440, 12367237, 11573558
90, 13483033, 12728164, 12570022, 11476088
91, 13883071, 13119446, 12953460, 11870979
92, 14368811, 13415944, 13418477, 12239491
93, 14760570, 13940459, 13964392, 12745559
94, 15277152, 14271484, 14466260, 13051045
95, 15650753, 14960464, 14820233, 13423913
96, 16152392, 15313392, 15509142, 14129794
97, 16921578, 16064316, 16107518, 14684519
98, 17455522, 16755879, 16526249, 14952952
99, 18231415, 17154913, 16844741, 15221755
100, 18824675, 17723777, 17506604, 16186245
101, 19028060, 18187716, 17678977, 17582602
102, 23316164, 22455761, 20309615, 18774642
103, 21068936, 19911106, 19675901, 17986821
104, 21887519, 20246963, 20260838, 18807204
105, 21983481, 20529538, 21059979, 20376979
106, 24101091, 23281571, 25259923, 23806763
107, 23707824, 22176925, 21192926, 19220899
108, 24149889, 22471356, 23390400, 21278671
109, 25715200, 22443888, 22309891, 20140988
110, 25994031, 24218644, 23749826, 21145733
111, 27147467, 28605895, 28538309, 23309325
112, 26865553, 25517580, 25152117, 24403466
113, 27912508, 26073836, 25141936, 23969037
114, 32260391, 26635872, 26890330, 24238785
115, 28326498, 26515625, 26392874, 25135973
116, 28807090, 28035697, 28660605, 25507235
117, 30004798, 32371168, 29919001, 25992459
118, 31827576, 28494475, 29653819, 26981571
119, 34074069, 31204888, 30640035, 27193258
120, 32076424, 32377433, 30193943, 27359191
121, 37520072, 32185884, 31710970, 30180121
122, 36024495, 38520072, 36811285, 30282860
123, 37686754, 40386552, 37880809, 31365322
124, 38618433, 34381945, 35545344, 31103077
125, 37526829, 36151214, 35853807, 31796473
