length, ns_bt, ns_bt+, ns_td, ns_bu
1, 154, 147, 763, 805
2, 220, 174, 1154, 1798
3, 436, 257, 2752, 3064
4, 839, 647, 3827, 5050
5, 1368, 1180, 5933, 7582
6, 2114, 2013, 9537, 11644
7, 2998, 3000, 11783, 16303
8, 4652, 4603, 18575, 23304
9, 6522, 6685, 22392, 34492
10, 9031, 9164, 29567, 43770
11, 11742, 12417, 37348, 54315
12, 15205, 16240, 47031, 67650
13, 19255, 20790, 56050, 84426
14, 23915, 26057, 70660, 103166
15, 30284, 31605, 82922, 124432
16, 35901, 39079, 98796, 145953
17, 43338, 49108, 121277, 179934
18, 51425, 55993, 156344, 215661
19, 64467, 68862, 159523, 243949
20, 70097, 77850, 187134, 278220
21, 81117, 87779, 209668, 313948
22, 97139, 107301, 252202, 375179
23, 106031, 116991, 292755, 410033
