length, ns_bt, ns_bt+, ns_td, ns_bu
1, 178, 153, 864, 862
2, 229, 180, 1224, 2342
3, 548, 185, 2730, 3150
4, 1212, 236, 4417, 6107
5, 2843, 296, 6515, 12644
6, 6143, 344, 11244, 13562
7, 14075, 412, 14356, 21393
8, 31085, 454, 19109, 26328
9, 74875, 528, 25945, 40203
10, 156712, 598, 33788, 47138
11, 321497, 749, 45930, 61670
12, 815993, 992, 65746, 75722
13, 1462032, 939, 70841, 96457
14, 3283283, 1292, 90187, 127028
15, 7262194, 1238, 118416, 144157
16, 13394359, 1312, 118505, 157047
17, 31420024, 1520, 160947, 197091
18, 66007119, 1344, 174125, 225465
19, 146333559, 1318, 201869, 263649
20, 276416455, 1234, 196413, 268009
21, -397583738, 1673, 184878, 251543
22, -1624613, 1123, 184187, 253362
23, -316291488, 1001, 173719, 245775
