length, ns_bt, ns_bt+, ns_td, ns_bu
1, 153, 128, 724, 710
2, 230, 149, 1043, 1747
3, 560, 202, 3097, 3103
4, 1119, 212, 3773, 4916
5, 2562, 262, 6190, 7847
6, 5502, 272, 10368, 12076
7, 12753, 398, 12490, 18119
8, 31754, 424, 18464, 24709
9, 69538, 951, 37855, 44031
10, 137270, 952, 34757, 57344
11, 341294, 716, 47083, 59618
12, 681793, 701, 53316, 64900
13, 1222223, 1098, 53265, 69744
14, 2775480, 1430, 67170, 98391
15, 5586311, 2463, 90978, 120582
16, 14293543, 1782, 107191, 143362
17, 31391879, 2733, 144805, 188418
18, 70447387, 1194, 162521, 211260
19, 135801442, 1803, 203420, 259755
20, 252445988, 3824, 207219, 282367
21, 412988954, 3325, 175794, 230345
22, 15132322, 1004, 172950, 224326
23, -287866587, 4732, 182887, 249478
