length, ns_bt, ns_bt+, ns_td, ns_bu
1, 169, 152, 885, 843
2, 285, 208, 1349, 2099
3, 682, 309, 2810, 3516
4, 1480, 405, 4784, 6422
5, 3063, 627, 7414, 9940
6, 6893, 849, 13056, 15268
7, 13582, 1630, 16407, 21713
8, 24879, 2412, 24474, 29297
9, 41492, 5295, 28726, 40366
10, 76259, 7127, 42591, 52143
11, 147771, 12373, 56018, 71197
12, 270704, 20990, 67565, 83723
13, 562705, 19081, 79214, 105227
14, 649624, 24378, 61995, 80030
15, 715405, 58464, 73101, 96797
16, 1523900, 96996, 125726, 160629
17, 3101159, 237987, 166598, 209095
18, 4613645, 300469, 188449, 239640
19, 7026477, 444127, 242569, 297922
20, 8846481, 521319, 249006, 320772
21, 15894867, 938802, 282782, 354183
22, 24233513, 1575768, 382935, 419323
23, 37959953, 3047761, 374445, 485642
