length, mcs_distribucion_uniforme, mcs_creciente, mcs_decreciente, mcs_constante 
0, 0, 0, 0, 0
1, 0, 0, 0, 0
2, 0, 1, 0, 0
3, 2, 2, 2, 1
4, 5, 3, 2, 2
5, 5, 4, 7, 5
6, 8, 7, 7, 6
7, 17, 16, 16, 12
8, 32, 22, 17, 17
9, 28, 32, 25, 18
10, 36, 21, 23, 22
11, 39, 27, 33, 24
12, 46, 38, 36, 32
13, 63, 48, 44, 40
14, 72, 58, 55, 53
15, 87, 69, 66, 62
16, 102, 81, 77, 72
17, 114, 86, 85, 81
18, 147, 119, 116, 97
19, 175, 153, 155, 134
20, 193, 165, 160, 137
21, 221, 181, 173, 155
22, 227, 198, 199, 169
23, 251, 217, 213, 197
24, 347, 302, 248, 247
25, 307, 285, 285, 235
26, 488, 436, 435, 369
27, 490, 425, 450, 411
28, 628, 507, 464, 414
29, 640, 568, 575, 501
30, 888, 789, 734, 577
31, 665, 889, 663, 532
32, 888, 813, 790, 637
33, 935, 1989, 939, 799
34, 1126, 1011, 1025, 924
35, 1174, 1093, 1092, 905
36, 1342, 1106, 1282, 981
37, 1316, 1202, 1190, 986
38, 1466, 1346, 1376, 1173
39, 1622, 1484, 1443, 1207
40, 1261, 1102, 1109, 937
41, 1111, 1091, 1006, 905
42, 1584, 1460, 1429, 1337
43, 1562, 1467, 1499, 1285
44, 1466, 1410, 1457, 1190
45, 2257, 2091, 1978, 1713
46, 2365, 2175, 2271, 1947
47, 2278, 2077, 1912, 1820
48, 1990, 1962, 2073, 1918
49, 2328, 1889, 2019, 2136
50, 2249, 1868, 2007, 1682
51, 2369, 2207, 2095, 1898
52, 2186, 1978, 1921, 1696
53, 2767, 2706, 2317, 2134
54, 2516, 2262, 2242, 1964
55, 2656, 2535, 2406, 2125
56, 2725, 2536, 2353, 2078
57, 3145, 2661, 2665, 2505
58, 4370, 4413, 4577, 3387
59, 3582, 3714, 4133, 3084
60, 3683, 3746, 3953, 3099
61, 7257, 7306, 6825, 5500
62, 6333, 5957, 6174, 4835
63, 4766, 4433, 4378, 3710
64, 5706, 4754, 4773, 4092
65, 4386, 4506, 4326, 3513
66, 6826, 6971, 6911, 5538
67, 7339, 9671, 6400, 5290
68, 8395, 7832, 8011, 5952
69, 8067, 7835, 7901, 5954
70, 8947, 8775, 8747, 7057
71, 9863, 10070, 9902, 7461
72, 9786, 9308, 9825, 7983
73, 10344, 9784, 9699, 8322
74, 10923, 10444, 10386, 8621
75, 7075, 6609, 6654, 5882
76, 9185, 8543, 9523, 7799
77, 8869, 7837, 7938, 6581
78, 8237, 7810, 7995, 6832
79, 8091, 7703, 7705, 6733
80, 8598, 7957, 9114, 7016
81, 8847, 8287, 9114, 7378
82, 10665, 9120, 8874, 7946
83, 9474, 9185, 9567, 7951
84, 11292, 10943, 10199, 8126
85, 13115, 11705, 12373, 10554
86, 16700, 15200, 15665, 12178
87, 15131, 13117, 13211, 10025
88, 11901, 10712, 13557, 10725
89, 15392, 15350, 14192, 10942
90, 10332, 9833, 9566, 7995
91, 10413, 10187, 9793, 8358
92, 10761, 10264, 10086, 8402
93, 12393, 11549, 11489, 9469
94, 11230, 10852, 11069, 9109
95, 12048, 11369, 12077, 9373
96, 17318, 15261, 14402, 11730
97, 13741, 13189, 12685, 10179
98, 13146, 12437, 12268, 10014
99, 13573, 12911, 12512, 10239
100, 14426, 13315, 13023, 10991
101, 14486, 13401, 13035, 11211
102, 14644, 13775, 13750, 11663
103, 14968, 14271, 14977, 12170
104, 15466, 14383, 14633, 11753
105, 18990, 17068, 15543, 12679
106, 17501, 16476, 15784, 13200
107, 17520, 16462, 16059, 13454
108, 18608, 16869, 16516, 13819
109, 18759, 17635, 18094, 15292
110, 19196, 17568, 17632, 16112
111, 19619, 18073, 17707, 15073
112, 19741, 18363, 18480, 15588
113, 20469, 18778, 19216, 15715
114, 20599, 19387, 19928, 16053
115, 22130, 20021, 20521, 16798
116, 21842, 20699, 20955, 16983
117, 22181, 20788, 21146, 16866
118, 23210, 22112, 21951, 17619
119, 28012, 23100, 23707, 20959
120, 26235, 23668, 22892, 18596
121, 24573, 22945, 22788, 18229
122, 27889, 25661, 26678, 20155
123, 26153, 24072, 25977, 20099
124, 30409, 28733, 26338, 23114
125, 48680, 42910, 45086, 35688
